tahun,bulan,daerah_tujuan,berat_beras
2012,Januari,DKI Jakarta,31473
2012,Februari,DKI Jakarta,32983
2012,Maret,DKI Jakarta,33894
2012,April,DKI Jakarta,29875
2012,Mei,DKI Jakarta,35298
2012,Juni,DKI Jakarta,34541
2012,Juli,DKI Jakarta,35199
2012,Agustus,DKI Jakarta,23785
2012,September,DKI Jakarta,32057
2012,Oktober,DKI Jakarta,28780
2012,Nopember,DKI Jakarta,30624
2012,Desember,DKI Jakarta,29545
2012,Januari,Bogor dan Sekitarnya,3105
2012,Februari,Bogor dan Sekitarnya,2861
2012,Maret,Bogor dan Sekitarnya,1631
2012,April,Bogor dan Sekitarnya,2037
2012,Mei,Bogor dan Sekitarnya,2018
2012,Juni,Bogor dan Sekitarnya,1815
2012,Juli,Bogor dan Sekitarnya,1579
2012,Agustus,Bogor dan Sekitarnya,1043
2012,September,Bogor dan Sekitarnya,1214
2012,Oktober,Bogor dan Sekitarnya,1376
2012,Nopember,Bogor dan Sekitarnya,1416
2012,Desember,Bogor dan Sekitarnya,1918
2012,Januari,Banten dan Sekitarnya,6144
2012,Februari,Banten dan Sekitarnya,5989
2012,Maret,Banten dan Sekitarnya,5790
2012,April,Banten dan Sekitarnya,5267
2012,Mei,Banten dan Sekitarnya,6715
2012,Juni,Banten dan Sekitarnya,7778
2012,Juli,Banten dan Sekitarnya,7395
2012,Agustus,Banten dan Sekitarnya,4814
2012,September,Banten dan Sekitarnya,5989
2012,Oktober,Banten dan Sekitarnya,5042
2012,Nopember,Banten dan Sekitarnya,5232
2012,Desember,Banten dan Sekitarnya,6096
2012,Januari,Bekasi dan Sekitarnya,3518
2012,Februari,Bekasi dan Sekitarnya,2603
2012,Maret,Bekasi dan Sekitarnya,1816
2012,April,Bekasi dan Sekitarnya,2201
2012,Mei,Bekasi dan Sekitarnya,2300
2012,Juni,Bekasi dan Sekitarnya,3031
2012,Juli,Bekasi dan Sekitarnya,4014
2012,Agustus,Bekasi dan Sekitarnya,2765
2012,September,Bekasi dan Sekitarnya,2895
2012,Oktober,Bekasi dan Sekitarnya,2251
2012,Nopember,Bekasi dan Sekitarnya,2194
2012,Desember,Bekasi dan Sekitarnya,2204
2012,Januari,Jawa Barat dan Sekitar,12523
2012,Februari,Jawa Barat dan Sekitar,11957
2012,Maret,Jawa Barat dan Sekitar,2711
2012,April,Jawa Barat dan Sekitar,1352
2012,Mei,Jawa Barat dan Sekitar,1745
2012,Juni,Jawa Barat dan Sekitar,1866
2012,Juli,Jawa Barat dan Sekitar,1901
2012,Agustus,Jawa Barat dan Sekitar,1021
2012,September,Jawa Barat dan Sekitar,1226
2012,Oktober,Jawa Barat dan Sekitar,1282
2012,Nopember,Jawa Barat dan Sekitar,910
2012,Desember,Jawa Barat dan Sekitar,3650
2012,Januari,Jawa Tengah dan Sekitar,4072
2012,Februari,Jawa Tengah dan Sekitar,7815
2012,Maret,Jawa Tengah dan Sekitar,3014
2012,April,Jawa Tengah dan Sekitar,1733
2012,Mei,Jawa Tengah dan Sekitar,1551
2012,Juni,Jawa Tengah dan Sekitar,2228
2012,Juli,Jawa Tengah dan Sekitar,1059
2012,Agustus,Jawa Tengah dan Sekitar,361
2012,September,Jawa Tengah dan Sekitar,1001
2012,Oktober,Jawa Tengah dan Sekitar,1175
2012,Nopember,Jawa Tengah dan Sekitar,759
2012,Desember,Jawa Tengah dan Sekitar,993
2012,Januari,Jawa Timur dan Sekitar,2671
2012,Februari,Jawa Timur dan Sekitar,3831
2012,Maret,Jawa Timur dan Sekitar,2085
2012,April,Jawa Timur dan Sekitar,1210
2012,Mei,Jawa Timur dan Sekitar,568
2012,Juni,Jawa Timur dan Sekitar,1193
2012,Juli,Jawa Timur dan Sekitar,1116
2012,Agustus,Jawa Timur dan Sekitar,708
2012,September,Jawa Timur dan Sekitar,595
2012,Oktober,Jawa Timur dan Sekitar,600
2012,Nopember,Jawa Timur dan Sekitar,248
2012,Desember,Jawa Timur dan Sekitar,253
2012,Januari,Antar Pulau,15127
2012,Februari,Antar Pulau,16765
2012,Maret,Antar Pulau,18787
2012,April,Antar Pulau,19222
2012,Mei,Antar Pulau,19669
2012,Juni,Antar Pulau,20983
2012,Juli,Antar Pulau,20927
2012,Agustus,Antar Pulau,14309
2012,September,Antar Pulau,23684
2012,Oktober,Antar Pulau,16463
2012,Nopember,Antar Pulau,22047
2012,Desember,Antar Pulau,16140
